deal_id,announcement_date,year,quarter,deal_status,validation_status,transaction_type,asset_or_company_name,target_type,buyer,buyer_country,buyer_type,seller,seller_country,seller_type,spanish_company_involved,spanish_company_role,description,technology,location_country,location_region,location_province,location_city,capacity_mw,capacity_mwp,storage_mwh,number_of_assets,development_stage,regulated_or_merchant,ppa_status,grid_access_status,environmental_permit_status,deal_value_eur_m,enterprise_value_eur_m,equity_value_eur_m,debt_assumed_eur_m,price_per_mw_eur_m,ownership_stake_acquired_pct,implied_100pct_value_eur_m,source_1,source_2,source_3,source_quality_score,source_type,source_domain,source_url,article_title,article_date,ingestion_date,last_seen_date,extraction_method,extraction_confidence_score,duplicate_group_id,raw_text_excerpt,notes,last_updated
MASTER-0001,2026-06-18,2026,Q2,announced,public_seed,portfolio sale,Global renewable asset portfolio with Iberia presence,portfolio,Kyotherm,,,Undisclosed,,,unknown,unknown,Kyotherm acquires a global renewable asset portfolio of 155 MW with presence in Iberia.,hybrid,Iberia,,,,155.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,2026-06-18,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Kyotherm acquires a global renewable asset portfolio of 155 MW with presence in Iberia.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0002,2026-06-18,2026,Q2,announced,public_seed,minority stake / farm-down,706 MW Spanish wind and solar portfolio,portfolio,Masdar,,,Repsol,,,yes,unknown,Repsol sells/integrates Masdar as 49% partner in a 706 MW Spanish wind and solar portfolio.,hybrid,Spain,,,,706.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,49.0,,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,2026-06-18,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Repsol sells/integrates Masdar as 49% partner in a 706 MW Spanish wind and solar portfolio.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0003,2026-06-18,2026,Q2,process,public_seed,portfolio sale,Acciona Energia wind portfolio around 361 MW,portfolio,To be determined,,,Acciona Energía,,,yes,unknown,Acciona Energía mandates BNP Paribas to seek investors for a wind portfolio of around 361 MW.,wind onshore,Spain,,,,361.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,2026-06-18,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Acciona Energía mandates BNP Paribas to seek investors for a wind portfolio of around 361 MW.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0004,2026-06-18,2026,Q2,announced,public_seed,corporate acquisition,Nostrum Group,company,IREN,,,Andera Partners / Ingenostrum,,,yes,unknown,IREN acquires Nostrum Group from Andera Partners and Ingenostrum.,renewable platform,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,2026-06-18,2026-07-02,2026-07-02,manual_public_seed_v4,100,,IREN acquires Nostrum Group from Andera Partners and Ingenostrum.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0005,2026-06-18,2026,Q2,announced,public_seed,corporate acquisition,Reciner Energía,company,ACTECO Productos y Servicios SL,,,Undisclosed,,,yes,unknown,ACTECO acquires Reciner Energía to reinforce energy recovery and circular economy activities.,waste-to-energy,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,2026-06-18,2026-07-02,2026-07-02,manual_public_seed_v4,100,,ACTECO acquires Reciner Energía to reinforce energy recovery and circular economy activities.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0006,2026-06-18,2026,Q2,closed,public_seed,minority stake sale,Naturgy 13.8% stake,company stake,Market investors,,,CVC Capital Partners,,,yes,unknown,CVC sells its full 13.8% stake in Naturgy.,utility / renewables exposure,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,13.8,,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,2026-06-18,2026-07-02,2026-07-02,manual_public_seed_v4,100,,CVC sells its full 13.8% stake in Naturgy.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0007,2026-06-18,2026,Q2,announced,public_seed,asset acquisition,Zeleros technology and assets,assets,Amper SA,,,Zeleros,,,yes,unknown,Amper SA acquires technology assets and capabilities from Zeleros.,energy / technology,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,2026-06-18,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Amper SA acquires technology assets and capabilities from Zeleros.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0008,2026-06-18,2026,Q2,announced,public_seed,asset deal,Spanish solar parks 13.3 MW,portfolio,Sonnedix,,,Undisclosed,,,yes,unknown,Sonnedix acquires Spanish solar parks with total capacity of 13.3 MW.,solar PV,Spain,,,,13.3,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/06/18/listado-de-las-nuevas-ma-renovables-anunciadas-en-mayo-en-espana-2/,,2026-06-18,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Sonnedix acquires Spanish solar parks with total capacity of 13.3 MW.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0009,2026-03-09,2026,Q1,process,public_seed,corporate sale,X-Elio,company,To be determined,,,Brookfield,,,yes,unknown,Brookfield mandates Santander and Barclays to sell X-Elio.,solar PV,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Brookfield mandates Santander and Barclays to sell X-Elio.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0010,2026-03-09,2026,Q1,announced,public_seed,asset sale,Galp Spanish RTB renewables 525 MW,portfolio,Ignis,,,Galp,,,yes,unknown,Galp transfers 525 MW ready-to-build renewables in Spain to Ignis.,solar PV,Spain,,,,525.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Galp transfers 525 MW ready-to-build renewables in Spain to Ignis.,public seed from source; review/complete missing economics,2026-07-02
